index,arm,score,judge_raw
0,coax_primer_coords,0.2,0.2
1,coax_primer_coords,0.0,0.0
2,coax_primer_coords,0.3,0.3
3,coax_primer_coords,0.0,0.0
4,coax_primer_coords,0.6,0.6
5,coax_primer_coords,0.2,0.2
6,coax_primer_coords,0.6,0.6
7,coax_primer_coords,0.0,0.0
8,coax_primer_coords,0.7,0.7
9,coax_primer_coords,0.0,0.0
10,coax_primer_coords,0.3,0.3
11,coax_primer_coords,0.0,0.0
12,coax_primer_coords,0.6,0.6
13,coax_primer_coords,0.9,0.9
14,coax_primer_coords,0.0,0.0
15,coax_primer_coords,0.0,0.0
16,coax_primer_coords,0.3,0.3
17,coax_primer_coords,0.0,0.0
18,coax_primer_coords,0.0,0.0
19,coax_primer_coords,0.0,0.0
20,coax_primer_coords,0.9,0.9
21,coax_primer_coords,0.3,0.3
22,coax_primer_coords,0.2,0.2
23,coax_primer_coords,0.0,0.0
24,coax_primer_coords,0.0,0.0
25,coax_primer_coords,0.3,0.3
26,coax_primer_coords,0.3,0.3
27,coax_primer_coords,0.6,0.6
28,coax_primer_coords,0.3,0.3
29,coax_primer_coords,1.0,1.0
30,coax_primer_coords,0.3,0.3
31,coax_primer_coords,0.3,0.3
32,coax_primer_coords,0.3,0.3
33,coax_primer_coords,0.7,0.7
34,coax_primer_coords,0.3,0.3
35,coax_primer_coords,0.2,0.2
36,coax_primer_coords,0.0,0.0
37,coax_primer_coords,0.0,0.0
38,coax_primer_coords,0.7,0.7
39,coax_primer_coords,0.6,0.6
40,coax_primer_coords,0.3,0.3
41,coax_primer_coords,1.0,1.0
42,coax_primer_coords,0.0,0.0
43,coax_primer_coords,0.9,0.9
44,coax_primer_coords,0.0,0.0
45,coax_primer_coords,0.9,0.9
46,coax_primer_coords,0.2,0.2
47,coax_primer_coords,0.3,0.3
48,coax_primer_coords,0.0,0.0
49,coax_primer_coords,0.9,0.9
50,coax_primer_coords,0.0,0.0
51,coax_primer_coords,0.6,0.6
52,coax_primer_coords,0.2,0.2
53,coax_primer_coords,0.7,0.7
54,coax_primer_coords,0.6,0.6
55,coax_primer_coords,0.6,0.6
56,coax_primer_coords,0.6,0.6
57,coax_primer_coords,0.0,0.0
58,coax_primer_coords,0.3,0.3
59,coax_primer_coords,1.0,1.0
60,coax_primer_coords,0.6,0.6
61,coax_primer_coords,0.9,0.9
62,coax_primer_coords,0.9,0.9
63,coax_primer_coords,0.7,0.7
64,coax_primer_coords,0.3,0.3
65,coax_primer_coords,0.3,0.3
66,coax_primer_coords,0.0,0.0
67,coax_primer_coords,1.0,1.0
68,coax_primer_coords,0.6,0.6
69,coax_primer_coords,0.9,0.9
70,coax_primer_coords,0.6,0.6
71,coax_primer_coords,0.0,0.0
72,coax_primer_coords,0.5,0.5
73,coax_primer_coords,0.2,0.2
74,coax_primer_coords,0.9,0.9
75,coax_primer_coords,0.3,0.3
76,coax_primer_coords,0.2,0.2
77,coax_primer_coords,0.3,0.3
78,coax_primer_coords,0.2,0.2
79,coax_primer_coords,0.7,0.7
80,coax_primer_coords,1.0,1.0
81,coax_primer_coords,0.0,0.0
82,coax_primer_coords,0.3,0.3
83,coax_primer_coords,0.6,0.6
84,coax_primer_coords,0.9,0.9
85,coax_primer_coords,0.9,0.9
86,coax_primer_coords,0.2,0.2
87,coax_primer_coords,0.9,0.9
88,coax_primer_coords,0.3,0.3
89,coax_primer_coords,0.6,0.6
90,coax_primer_coords,0.0,0.0
91,coax_primer_coords,0.6,0.6
92,coax_primer_coords,1.0,1.0
93,coax_primer_coords,0.6,0.6
94,coax_primer_coords,0.3,0.3
95,coax_primer_coords,0.0,0.0
96,coax_primer_coords,0.9,0.9
97,coax_primer_coords,0.5,0.5
98,coax_primer_coords,0.0,0.0
99,coax_primer_coords,0.3,0.3
100,coax_primer_coords,0.6,0.6
101,coax_primer_coords,0.3,0.3
102,coax_primer_coords,0.0,0.0
103,coax_primer_coords,0.0,0.0
104,coax_primer_coords,0.3,0.3
105,coax_primer_coords,0.9,0.9
106,coax_primer_coords,0.0,0.0
107,coax_primer_coords,0.5,0.5
108,coax_primer_coords,0.7,0.7
109,coax_primer_coords,0.0,0.0
110,coax_primer_coords,0.2,0.2
111,coax_primer_coords,0.0,0.0
112,coax_primer_coords,0.0,0.0
113,coax_primer_coords,0.3,0.3
114,coax_primer_coords,0.0,0.0
115,coax_primer_coords,0.0,0.0
116,coax_primer_coords,0.9,0.9
117,coax_primer_coords,0.0,0.0
118,coax_primer_coords,0.3,0.3
119,coax_primer_coords,0.3,0.3
120,coax_primer_coords,0.0,0.0
121,coax_primer_coords,0.6,0.6
122,coax_primer_coords,0.7,0.7
123,coax_primer_coords,0.3,0.3
124,coax_primer_coords,0.3,0.3
125,coax_primer_coords,0.3,0.3
126,coax_primer_coords,0.6,0.6
127,coax_primer_coords,0.3,0.3
128,coax_primer_coords,0.0,0.0
129,coax_primer_coords,0.9,0.9
130,coax_primer_coords,0.6,0.6
131,coax_primer_coords,0.3,0.3
132,coax_primer_coords,0.6,0.6
133,coax_primer_coords,0.3,0.3
134,coax_primer_coords,0.7,0.7
135,coax_primer_coords,0.0,0.0
136,coax_primer_coords,0.7,0.7
137,coax_primer_coords,0.6,0.6
138,coax_primer_coords,0.0,0.0
139,coax_primer_coords,0.6,0.6
140,coax_primer_coords,0.0,0.0
141,coax_primer_coords,0.0,0.0
142,coax_primer_coords,0.2,0.2
143,coax_primer_coords,0.3,0.3
144,coax_primer_coords,0.0,0.0
145,coax_primer_coords,0.9,0.9
146,coax_primer_coords,0.0,0.0
147,coax_primer_coords,0.9,0.9
148,coax_primer_coords,0.7,0.7
149,coax_primer_coords,0.3,0.3
150,coax_primer_coords,0.0,0.0
151,coax_primer_coords,0.9,0.9
152,coax_primer_coords,0.0,0.0
153,coax_primer_coords,0.2,0.2
154,coax_primer_coords,0.2,0.2
155,coax_primer_coords,0.3,0.3
156,coax_primer_coords,1.0,1.0
157,coax_primer_coords,0.0,0.0
158,coax_primer_coords,0.0,0.0
159,coax_primer_coords,0.3,0.3
160,coax_primer_coords,0.7,0.7
161,coax_primer_coords,0.3,0.3
162,coax_primer_coords,0.0,0.0
163,coax_primer_coords,0.0,0.0
164,coax_primer_coords,0.3,0.3
165,coax_primer_coords,0.2,0.2
166,coax_primer_coords,0.7,0.7
167,coax_primer_coords,0.3,0.3
168,coax_primer_coords,0.0,0.0
169,coax_primer_coords,0.3,0.3
170,coax_primer_coords,0.7,0.7
171,coax_primer_coords,0.7,0.7
172,coax_primer_coords,0.3,0.3
173,coax_primer_coords,0.3,0.3
174,coax_primer_coords,0.0,0.0
175,coax_primer_coords,0.3,0.3
176,coax_primer_coords,0.3,0.3
177,coax_primer_coords,0.6,0.6
178,coax_primer_coords,0.3,0.3
179,coax_primer_coords,0.0,0.0
180,coax_primer_coords,0.6,0.6
181,coax_primer_coords,0.3,0.3
182,coax_primer_coords,0.0,0.0
183,coax_primer_coords,0.3,0.3
184,coax_primer_coords,0.3,0.3
185,coax_primer_coords,0.2,0.2
186,coax_primer_coords,0.3,0.3
187,coax_primer_coords,0.0,0.0
188,coax_primer_coords,0.6,0.6
189,coax_primer_coords,0.3,0.3
190,coax_primer_coords,0.3,0.3
191,coax_primer_coords,0.6,0.6
192,coax_primer_coords,0.3,0.3
193,coax_primer_coords,0.2,0.2
194,coax_primer_coords,0.3,0.3
195,coax_primer_coords,0.9,0.9
196,coax_primer_coords,0.3,0.3
197,coax_primer_coords,0.0,0.0
198,coax_primer_coords,0.0,0.0
199,coax_primer_coords,0.6,0.6
200,coax_primer_coords,0.3,0.3
201,coax_primer_coords,0.6,0.6
202,coax_primer_coords,0.3,0.3
203,coax_primer_coords,0.9,0.9
204,coax_primer_coords,0.9,0.9
205,coax_primer_coords,0.0,0.0
206,coax_primer_coords,0.3,0.3
207,coax_primer_coords,1.0,1.0
208,coax_primer_coords,0.5,0.5
209,coax_primer_coords,0.2,0.2
210,coax_primer_coords,0.2,0.2
211,coax_primer_coords,0.0,0.0
212,coax_primer_coords,0.3,0.3
213,coax_primer_coords,0.2,0.2
214,coax_primer_coords,0.9,0.9
215,coax_primer_coords,0.9,0.9
216,coax_primer_coords,0.3,0.3
217,coax_primer_coords,0.3,0.3
218,coax_primer_coords,0.6,0.6
219,coax_primer_coords,0.3,0.3
220,coax_primer_coords,1.0,1.0
221,coax_primer_coords,0.0,0.0
222,coax_primer_coords,0.3,0.3
223,coax_primer_coords,0.3,0.3
224,coax_primer_coords,0.3,0.3
225,coax_primer_coords,0.6,0.6
226,coax_primer_coords,0.3,0.3
227,coax_primer_coords,0.3,0.3
228,coax_primer_coords,0.6,0.6
229,coax_primer_coords,0.0,0.0
230,coax_primer_coords,0.2,0.2
231,coax_primer_coords,0.5,0.5
232,coax_primer_coords,0.9,0.9
233,coax_primer_coords,0.3,0.3
234,coax_primer_coords,0.0,0.0
235,coax_primer_coords,0.6,0.6
236,coax_primer_coords,1.0,1.0
237,coax_primer_coords,0.2,0.2
238,coax_primer_coords,0.0,0.0
239,coax_primer_coords,0.3,0.3
240,coax_primer_coords,0.2,0.2
241,coax_primer_coords,0.9,0.9
242,coax_primer_coords,0.5,0.5
243,coax_primer_coords,0.6,0.6
244,coax_primer_coords,0.7,0.7
245,coax_primer_coords,0.6,0.6
246,coax_primer_coords,0.3,0.3
247,coax_primer_coords,0.2,0.2
248,coax_primer_coords,0.0,0.0
249,coax_primer_coords,1.0,1.0
250,coax_primer_coords,0.7,0.7
251,coax_primer_coords,0.3,0.3
252,coax_primer_coords,0.6,0.6
253,coax_primer_coords,0.3,0.3
254,coax_primer_coords,0.6,0.6
255,coax_primer_coords,0.6,0.6
256,coax_primer_coords,0.6,0.6
257,coax_primer_coords,0.2,0.2
258,coax_primer_coords,0.0,0.0
259,coax_primer_coords,0.0,0.0
260,coax_primer_coords,0.9,0.9
261,coax_primer_coords,0.9,0.9
262,coax_primer_coords,0.7,0.7
263,coax_primer_coords,0.3,0.3
264,coax_primer_coords,0.0,0.0
265,coax_primer_coords,0.9,0.9
266,coax_primer_coords,0.7,0.7
267,coax_primer_coords,0.3,0.3
268,coax_primer_coords,0.2,0.2
269,coax_primer_coords,0.3,0.3
270,coax_primer_coords,0.0,0.0
271,coax_primer_coords,0.0,0.0
272,coax_primer_coords,0.6,0.6
273,coax_primer_coords,0.9,0.9
274,coax_primer_coords,0.2,0.2
275,coax_primer_coords,0.6,0.6
276,coax_primer_coords,0.3,0.3
277,coax_primer_coords,0.7,0.7
278,coax_primer_coords,0.6,0.6
279,coax_primer_coords,0.9,0.9
280,coax_primer_coords,0.7,0.7
281,coax_primer_coords,0.3,0.3
282,coax_primer_coords,0.3,0.3
