index,file_name,category,question,answer,predicted,raw_response,correct,n_examples
54,016693.jpg,"Teeth,Patho",Which tooth shows signs of a periapical abscess?,D,A,A,False,3
55,016693.jpg,"Teeth,Patho,SumRec",Which tooth requires monitoring for suspicious caries?,A,A,A,True,1
56,016693.jpg,"Teeth,Jaw",In which jaw is the missing tooth region detected?,C,C,C,True,2
57,016694.jpg,"HisT,Jaw",Which structures are visible in the radiograph?,A,A,A,True,3
59,016694.jpg,Teeth,How many teeth are visualized in the radiograph?,D,C,C,False,3
60,016694.jpg,"Teeth,Patho",Which tooth has a periapical lesion?,C,A,A,False,3
61,016694.jpg,Jaw,Is there apparent bone loss in the jaw?,C,C,C,True,3
62,016708.jpg,"Teeth,HisT",Which tooth shows evidence of a crown restoration and root canal treatment?,D,D,D,True,3
63,016708.jpg,"Teeth,HisT",Which tooth is described as having an implant restoration?,C,C,C,True,3
64,016708.jpg,"Teeth,Patho",Which tooth is suspected to have a periapical granuloma?,C,A,A,False,3
65,016708.jpg,"Patho,Jaw",Which of the following is a finding in the maxillary sinuses?,C,C,C,True,1
66,016708.jpg,Teeth,How many teeth are visualized in the panoramic radiograph?,D,B,B,False,3
67,016712.jpg,"Teeth,Jaw",What is the status of bone loss in the jaw according to the report?,A,A,A,True,2
68,016712.jpg,SumRec,Which of the following is a preventive measure recommended in the report?,B,B,B,True,0
69,016712.jpg,"HisT,Jaw",Which structures are visible in the radiograph?,C,C,C,True,3
70,016712.jpg,"Teeth,SumRec",What is the priority concern regarding tooth 37?,B,A,A,False,1
71,016712.jpg,"Teeth,HisT",Which of the following teeth has a crown restoration with underlying root canal treatment?,D,A,A,False,3
72,016713.jpg,"Patho,Jaw",Which of the following is NOT a finding in the jaw-specific observations?,C,A,A,False,1
74,016713.jpg,Teeth,Which of the following wisdom teeth is suspicious for impaction?,A,A,A,True,3
75,016713.jpg,"Teeth,HisT",Which tooth has a crown restoration?,D,D,D,True,3
76,016713.jpg,Teeth,How many teeth are visualized in the radiograph?,C,C,C,True,3
78,016723.jpg,"Teeth,HisT",Which tooth shows signs of root canal treatment?,B,A,A,False,3
79,016723.jpg,Teeth,How many teeth are visualized in the panoramic radiograph?,D,C,C,False,3
