index,file_name,category,question,answer,predicted,raw_response,correct,n_examples
54,016693.jpg,"Teeth,Patho",Which tooth shows signs of a periapical abscess?,D,D,D,True,1
55,016693.jpg,"Teeth,Patho,SumRec",Which tooth requires monitoring for suspicious caries?,A,A,A,True,1
56,016693.jpg,"Teeth,Jaw",In which jaw is the missing tooth region detected?,C,C,C,True,1
57,016694.jpg,"HisT,Jaw",Which structures are visible in the radiograph?,A,A,A,True,1
59,016694.jpg,Teeth,How many teeth are visualized in the radiograph?,D,D,D,True,1
60,016694.jpg,"Teeth,Patho",Which tooth has a periapical lesion?,C,A,A,False,1
61,016694.jpg,Jaw,Is there apparent bone loss in the jaw?,C,B,B,False,1
62,016708.jpg,"Teeth,HisT",Which tooth shows evidence of a crown restoration and root canal treatment?,D,D,D,True,1
63,016708.jpg,"Teeth,HisT",Which tooth is described as having an implant restoration?,C,A,A,False,1
64,016708.jpg,"Teeth,Patho",Which tooth is suspected to have a periapical granuloma?,C,D,D,False,1
65,016708.jpg,"Patho,Jaw",Which of the following is a finding in the maxillary sinuses?,C,C,C,True,1
66,016708.jpg,Teeth,How many teeth are visualized in the panoramic radiograph?,D,D,D,True,1
67,016712.jpg,"Teeth,Jaw",What is the status of bone loss in the jaw according to the report?,A,A,A,True,1
68,016712.jpg,SumRec,Which of the following is a preventive measure recommended in the report?,B,D,D,False,0
69,016712.jpg,"HisT,Jaw",Which structures are visible in the radiograph?,C,C,C,True,1
70,016712.jpg,"Teeth,SumRec",What is the priority concern regarding tooth 37?,B,B,B,True,1
71,016712.jpg,"Teeth,HisT",Which of the following teeth has a crown restoration with underlying root canal treatment?,D,D,D,True,1
72,016713.jpg,"Patho,Jaw",Which of the following is NOT a finding in the jaw-specific observations?,C,B,B,False,1
74,016713.jpg,Teeth,Which of the following wisdom teeth is suspicious for impaction?,A,A,A,True,1
75,016713.jpg,"Teeth,HisT",Which tooth has a crown restoration?,D,D,D,True,1
76,016713.jpg,Teeth,How many teeth are visualized in the radiograph?,C,C,C,True,1
78,016723.jpg,"Teeth,HisT",Which tooth shows signs of root canal treatment?,B,C,C,False,1
79,016723.jpg,Teeth,How many teeth are visualized in the panoramic radiograph?,D,A,"To determine the total number of visualized teeth, we can count the teeth present in each quadrant of the panoramic radiograph:

* **Maxillary Right (Upper Right - left side of image):** 
  * Central incisor, lateral incisor, canine, first premolar, second premolar, first molar, second molar, and third molar (with root canal treatment/crown). (8 teeth)
* **Maxillary Left (Upper Left - right side of image):** 
  * Central incisor, lateral incisor, canine, first premolar, second premolar, first molar, second molar, and third molar. (8 teeth)
* **Mandibular Left (Lower Left - right side of image):** 
  * Central incisor, lateral incisor, canine, first premolar, second premolar, first molar, second molar, and third molar. (8 teeth)
* **Mandibular Right (Lower Right - left side of image):** 
  * Central incisor, lateral incisor, canine, first premolar, second premolar, first molar, and second molar. (No third molar is present/erupted in this quadrant). (7 teeth)

**Total Count:** 8 + 8 + 8 + 7 = 31 teeth

C",False,1
80,016723.jpg,Jaw,What is noted regarding the bone architecture?,C,C,C,True,1
81,016723.jpg,Jaw,What is observed in the maxillary sinuses?,C,C,C,True,1
82,016726.jpg,Teeth,Which of the following teeth are impacted wisdom teeth according to the report?,D,D,D,True,1
83,016726.jpg,"Teeth,Patho",Which tooth is suspicious for deep caries?,C,D,D,False,1
84,016726.jpg,"Teeth,Jaw",What is the status of bone architecture in the jaw?,D,D,D,True,1
85,016726.jpg,HisT,What type of dental restoration is found on tooth 25?,C,B,B,False,0
86,016726.jpg,HisT,Can you identify the dental treatment present on tooth 15?,C,D,D,False,0
88,016744.jpg,SumRec,What should be monitored for potential complications?,B,B,B,True,0
89,016744.jpg,Jaw,In which jaw is there evidence of bone loss?,A,A,A,True,1
90,016744.jpg,Teeth,How many teeth were visualized in the panoramic radiograph?,D,C,C,False,1
92,016769.jpg,"Teeth,HisT",Which of the following teeth has signs of a root canal treatment?,D,D,D,True,1
93,016769.jpg,Teeth,Which of the following teeth is identified as a wisdom tooth?,B,B,B,True,1
94,016769.jpg,Teeth,How many teeth were visualized in the panoramic radiograph?,C,C,C,True,1
95,016769.jpg,Jaw,What is the radiographic feature of the maxillary sinus?,B,B,B,True,1
96,016783.jpg,Teeth,How many teeth are visualized in the panoramic radiograph?,C,A,"To find the number of teeth visualized in the panoramic radiograph, we can count them by quadrants:

1. **Maxillary Right (Upper Right):** 
   - There is a wisdom tooth (third molar) present and erupted.
   - Counting from the third molar to the central incisor: 8 teeth (teeth #1 to #8).

2. **Maxillary Left (Upper Left):** 
   - There is also a third molar present.
   - Counting from the central incisor to the third molar: 8 teeth (teeth #9 to #16).
   - *Total Maxillary Teeth = 16*

3. **Mandibular Left (Lower Left):** 
   - There is an impacted/semi-erupted third molar at the end of the arch, followed by 2 molars, 2 premolars, 1 canine, 1 lateral incisor, and 1 central incisor.
   - Counting from the central incisor to the third molar: 8 teeth (teeth #17 to #24).

4. **Mandibular Right (Lower Right):** 
   - In this quadrant, there is a 3-unit bridge (replaces one missing tooth, with two abutments serving as the supports). 
   - Specifically: there is a canine, first premolar, second premolar (under the bridge), a missing first molar (pontic of the bridge), and a second molar (abutment of the bridge). The third molar is missing.
   - Counting the actual, distinct visualized natural teeth in this quadrant: central incisor, lateral incisor, canine, first premolar, second premolar, and second molar (6 teeth visualized).
   - *Total Mandibular Teeth = 8 (left) + 6 (right) = 14*

5. **Grand Total:** 16 (upper) + 14 (lower) = 30 visualized teeth.

**D**",False,1
97,016783.jpg,Teeth,What is the status of the wisdom teeth in the radiograph?,D,C,C,False,1
98,016783.jpg,Jaw,Is there any apparent bone loss in the radiograph?,D,D,D,True,1
99,016783.jpg,"HisT,Jaw",What structures are visible in the jaw?,B,B,B,True,1
100,016783.jpg,Patho,How many teeth show periapical lesions in this panoramic X-ray?,B,A,A,False,0
101,016790.jpg,"Teeth,HisT",Which tooth has both a crown restoration and root canal treatment?,D,D,D,True,1
102,016790.jpg,"Teeth,Patho",Which of the following is a tooth with suspicious caries?,B,B,B,True,1
