index,file_name,category,question,answer,predicted,raw_response,correct,n_examples
54,016693.jpg,"Teeth,Patho",Which tooth shows signs of a periapical abscess?,D,D,D,True,5
55,016693.jpg,"Teeth,Patho,SumRec",Which tooth requires monitoring for suspicious caries?,A,B,B,False,1
56,016693.jpg,"Teeth,Jaw",In which jaw is the missing tooth region detected?,C,B,"Based on the panoramic radiograph:

* There is a missing tooth region (edentulous space) in the upper jaw (specifically in the upper left premolar/anterior region where a space is visible, and anteriorly with a bridge spanning over missing teeth).
* There is also a missing tooth region in the lower jaw (visible on both the lower right and lower left posterior regions, particularly between the premolars and molars).

Therefore, missing tooth regions are detected in both the upper and lower arches.

**Answer: B**",False,2
57,016694.jpg,"HisT,Jaw",Which structures are visible in the radiograph?,A,A,A,True,3
59,016694.jpg,Teeth,How many teeth are visualized in the radiograph?,D,D,"Based on the examination of the panoramic radiograph, we can count the natural teeth/restored teeth (excluding the dental implant):

1. **Upper right quadrant (Patient's upper right):** 
   - Tooth 17 (molar with crown)
   - Tooth 16 (molar with crown)
   - Tooth 15 (premolar)
   - Tooth 13 (has a dental implant screw here, not a natural tooth)

2. **Upper left quadrant (Patient's upper left):**
   - Tooth 24 (premolar with crown/post)
   - Tooth 25 (premolar with crown)
   - Tooth 26 (molar with crown/post)
   - Tooth 27 (molar with crown)

3. **Lower arch (Patient's lower right to lower left):**
   - Tooth 47 (molar with crown)
   - Tooth 45 (premolar)
   - Tooth 44 (premolar with crown)
   - Tooth 43 (canine with crown)
   - Tooth 42 (lateral incisor with crown)
   - Tooth 41 (central incisor with crown)
   - Tooth 31 (central incisor with crown)
   - Tooth 32 (lateral incisor with crown)
   - Tooth 33 (canine with crown)
   - Tooth 34 (premolar with crown)
   - Tooth 35 (premolar with crown)
   - Tooth 37 (molar with crown)

Counting the total visualized dental structures (excluding the isolated implant fixture): 
- Upper arch: 7 teeth
- Lower arch: 14 teeth
- Total = 21 teeth

Therefore, the correct answer is **D**.",True,5
60,016694.jpg,"Teeth,Patho",Which tooth has a periapical lesion?,C,A,A,False,5
61,016694.jpg,Jaw,Is there apparent bone loss in the jaw?,C,B,B,False,5
62,016708.jpg,"Teeth,HisT",Which tooth shows evidence of a crown restoration and root canal treatment?,D,D,D,True,5
63,016708.jpg,"Teeth,HisT",Which tooth is described as having an implant restoration?,C,C,"Based on the panoramic radiograph showing implant fixtures located in both the upper right quadrant (tooth position #15) and the lower right quadrant (tooth positions #45, #46, #47):

The matching option that identifies dental implant restorations present is **C** (which includes implants at #45 and #47).

Answer: C",True,5
64,016708.jpg,"Teeth,Patho",Which tooth is suspected to have a periapical granuloma?,C,D,D,False,5
65,016708.jpg,"Patho,Jaw",Which of the following is a finding in the maxillary sinuses?,C,C,C,True,1
66,016708.jpg,Teeth,How many teeth are visualized in the panoramic radiograph?,D,D,D,True,5
67,016712.jpg,"Teeth,Jaw",What is the status of bone loss in the jaw according to the report?,A,A,"Based on the examination of the panoramic X-ray, the bone height remains within normal anatomical levels relative to the cementoenamel junctions (CEJ) of the teeth.

Answer: A",True,2
68,016712.jpg,SumRec,Which of the following is a preventive measure recommended in the report?,B,B,B,True,0
69,016712.jpg,"HisT,Jaw",Which structures are visible in the radiograph?,C,C,C,True,3
70,016712.jpg,"Teeth,SumRec",What is the priority concern regarding tooth 37?,B,B,B,True,1
71,016712.jpg,"Teeth,HisT",Which of the following teeth has a crown restoration with underlying root canal treatment?,D,D,D,True,5
72,016713.jpg,"Patho,Jaw",Which of the following is NOT a finding in the jaw-specific observations?,C,B,B,False,1
74,016713.jpg,Teeth,Which of the following wisdom teeth is suspicious for impaction?,A,A,A,True,5
75,016713.jpg,"Teeth,HisT",Which tooth has a crown restoration?,D,D,D,True,5
76,016713.jpg,Teeth,How many teeth are visualized in the radiograph?,C,D,D,False,5
78,016723.jpg,"Teeth,HisT",Which tooth shows signs of root canal treatment?,B,C,C,False,5
