index,file_name,category,question,answer,predicted,raw_response,correct,n_examples
54,016693.jpg,"Teeth,Patho",Which tooth shows signs of a periapical abscess?,D,D,D,True,3
55,016693.jpg,"Teeth,Patho,SumRec",Which tooth requires monitoring for suspicious caries?,A,A,A,True,1
56,016693.jpg,"Teeth,Jaw",In which jaw is the missing tooth region detected?,C,B,B,False,2
57,016694.jpg,"HisT,Jaw",Which structures are visible in the radiograph?,A,A,A,True,3
59,016694.jpg,Teeth,How many teeth are visualized in the radiograph?,D,D,D,True,3
60,016694.jpg,"Teeth,Patho",Which tooth has a periapical lesion?,C,B,B,False,3
61,016694.jpg,Jaw,Is there apparent bone loss in the jaw?,C,B,B,False,3
62,016708.jpg,"Teeth,HisT",Which tooth shows evidence of a crown restoration and root canal treatment?,D,D,D,True,3
63,016708.jpg,"Teeth,HisT",Which tooth is described as having an implant restoration?,C,A,A,False,3
64,016708.jpg,"Teeth,Patho",Which tooth is suspected to have a periapical granuloma?,C,D,D,False,3
65,016708.jpg,"Patho,Jaw",Which of the following is a finding in the maxillary sinuses?,C,C,C,True,1
66,016708.jpg,Teeth,How many teeth are visualized in the panoramic radiograph?,D,D,D,True,3
67,016712.jpg,"Teeth,Jaw",What is the status of bone loss in the jaw according to the report?,A,A,A,True,2
68,016712.jpg,SumRec,Which of the following is a preventive measure recommended in the report?,B,B,B,True,0
69,016712.jpg,"HisT,Jaw",Which structures are visible in the radiograph?,C,C,C,True,3
70,016712.jpg,"Teeth,SumRec",What is the priority concern regarding tooth 37?,B,B,B,True,1
71,016712.jpg,"Teeth,HisT",Which of the following teeth has a crown restoration with underlying root canal treatment?,D,A,A,False,3
72,016713.jpg,"Patho,Jaw",Which of the following is NOT a finding in the jaw-specific observations?,C,B,B,False,1
74,016713.jpg,Teeth,Which of the following wisdom teeth is suspicious for impaction?,A,A,A,True,3
75,016713.jpg,"Teeth,HisT",Which tooth has a crown restoration?,D,D,D,True,3
76,016713.jpg,Teeth,How many teeth are visualized in the radiograph?,C,C,C,True,3
78,016723.jpg,"Teeth,HisT",Which tooth shows signs of root canal treatment?,B,C,C,False,3
79,016723.jpg,Teeth,How many teeth are visualized in the panoramic radiograph?,D,A,"To find the number of visualized teeth in the panoramic radiograph, we can count the teeth present in each quadrant:

1. **Upper Right Quadrant (Patient's Right / Image Left):**
   * There are 7 teeth present (from central incisor to the second molar with a restoration/crown). No third molar (wisdom tooth) is present in this quadrant.

2. **Upper Left Quadrant (Patient's Left / Image Right):**
   * There are 8 teeth present (from central incisor to the third molar/wisdom tooth, which is erupted).

3. **Lower Left Quadrant (Patient's Left / Image Right):**
   * There are 7 teeth present (from central incisor to the second molar). No third molar is present in this quadrant.

4. **Lower Right Quadrant (Patient's Right / Image Left):**
   * There are 7 teeth present (from central incisor to the second molar). No third molar is present in this quadrant.

**Total count:** 7 + 8 + 7 + 7 = 29 teeth.

D",False,3
80,016723.jpg,Jaw,What is noted regarding the bone architecture?,C,C,C,True,3
81,016723.jpg,Jaw,What is observed in the maxillary sinuses?,C,C,C,True,3
82,016726.jpg,Teeth,Which of the following teeth are impacted wisdom teeth according to the report?,D,D,D,True,3
83,016726.jpg,"Teeth,Patho",Which tooth is suspicious for deep caries?,C,D,D,False,3
84,016726.jpg,"Teeth,Jaw",What is the status of bone architecture in the jaw?,D,D,D,True,2
85,016726.jpg,HisT,What type of dental restoration is found on tooth 25?,C,B,B,False,0
86,016726.jpg,HisT,Can you identify the dental treatment present on tooth 15?,C,D,D,False,0
88,016744.jpg,SumRec,What should be monitored for potential complications?,B,B,B,True,0
89,016744.jpg,Jaw,In which jaw is there evidence of bone loss?,A,A,A,True,3
90,016744.jpg,Teeth,How many teeth were visualized in the panoramic radiograph?,D,C,C,False,3
92,016769.jpg,"Teeth,HisT",Which of the following teeth has signs of a root canal treatment?,D,C,C,False,3
93,016769.jpg,Teeth,Which of the following teeth is identified as a wisdom tooth?,B,C,C,False,3
94,016769.jpg,Teeth,How many teeth were visualized in the panoramic radiograph?,C,D,D,False,3
95,016769.jpg,Jaw,What is the radiographic feature of the maxillary sinus?,B,B,B,True,3
96,016783.jpg,Teeth,How many teeth are visualized in the panoramic radiograph?,C,C,C,True,3
97,016783.jpg,Teeth,What is the status of the wisdom teeth in the radiograph?,D,C,C,False,3
98,016783.jpg,Jaw,Is there any apparent bone loss in the radiograph?,D,D,D,True,3
99,016783.jpg,"HisT,Jaw",What structures are visible in the jaw?,B,B,B,True,3
100,016783.jpg,Patho,How many teeth show periapical lesions in this panoramic X-ray?,B,A,A,False,0
101,016790.jpg,"Teeth,HisT",Which tooth has both a crown restoration and root canal treatment?,D,D,D,True,3
102,016790.jpg,"Teeth,Patho",Which of the following is a tooth with suspicious caries?,B,B,B,True,3
103,016790.jpg,"Teeth,HisT",Which tooth does have a filling?,C,D,D,False,3
104,016790.jpg,Teeth,Which tooth is erupted among the wisdom teeth?,C,D,D,False,3
106,016792.jpg,"Teeth,Patho",Which tooth is suspicious for caries and deep caries?,A,A,A,True,3
107,016792.jpg,"Teeth,Patho",Which tooth shows signs of a periapical granuloma?,B,C,C,False,3
